Movie_Name,Rating,Voting_Counts,Duration_Total,Genre,Duration_Minutes,Duration_Category,Duration
Bystanders,3.9,373.0,1h 22m,Horror,82.0,Short,< 2 hrs
Devon,2.6,307.0,1h 12m,Horror,72.0,Short,< 2 hrs
The Moogai,5.4,393.0,1h 26m,Horror,86.0,Short,< 2 hrs
Night of the Zoopocalypse,6.1,940.0,1h 31m,Horror,91.0,Standard,< 2 hrs
Rippy,4.2,978.0,1h 23m,Horror,83.0,Short,< 2 hrs
The Killgrin,6.2,79.0,1h 23m,Horror,83.0,Short,< 2 hrs
Pins & Needles,6.7,23.0,1h 35m,Horror,95.0,Standard,< 2 hrs
Carved,4.4,2900.0,1h 35m,Horror,95.0,Standard,< 2 hrs
Destroy All Neighbors,5.3,2100.0,1h 25m,Horror,85.0,Short,< 2 hrs
House of Spoils,5.0,4000.0,1h 41m,Horror,101.0,Standard,< 2 hrs
Test Screening,6.9,68.0,1h 32m,Horror,92.0,Standard,< 2 hrs
Bureau 749,3.9,582.0,2h 3m,Horror,123.0,120-150 min,2–3 hrs
Krazy House,4.8,1500.0,1h 29m,Horror,89.0,Short,< 2 hrs
Room Service,3.9,323.0,,Horror,,150+ min,3–4 hrs
The Mouse Trap,2.5,3600.0,1h 20m,Horror,80.0,Short,< 2 hrs
The Waves of Madness,5.8,112.0,1h 8m,Horror,68.0,Short,< 2 hrs
The Dead Thing,4.7,1000.0,1h 34m,Horror,94.0,Standard,< 2 hrs
Munkar,5.2,557.0,1h 27m,Horror,87.0,Short,< 2 hrs
The Containment,4.6,59.0,1h 22m,Horror,82.0,Short,< 2 hrs
Handsome Guys,6.5,975.0,1h 41m,Horror,101.0,Standard,< 2 hrs
Dominion of Darkness,5.6,858.0,1h 36m,Horror,96.0,Standard,< 2 hrs
Spin the Bottle,3.5,1100.0,2h 4m,Horror,124.0,120-150 min,2–3 hrs
Jimmy and Stiggs,6.1,83.0,1h 20m,Horror,80.0,Short,< 2 hrs
Fear Cabin: The Last Weekend of Summer,3.2,10.0,1h 17m,Horror,77.0,Short,< 2 hrs
Slay,6.5,1200.0,1h 39m,Horror,99.0,Standard,< 2 hrs
Peripheral,9.4,32.0,1h 28m,Horror,88.0,Short,< 2 hrs
Baby Invasion,4.6,587.0,1h 20m,Horror,80.0,Short,< 2 hrs
H. P. Lovecraft's the Old Ones,3.6,412.0,1h 24m,Horror,84.0,Short,< 2 hrs
Sunrise,3.9,1200.0,1h 33m,Horror,93.0,Standard,< 2 hrs
Mr. Crocket,5.4,4900.0,1h 28m,Horror,88.0,Short,< 2 hrs
Iconic,6.9,428.0,1h 30m,Horror,90.0,Standard,< 2 hrs
Conjuring the Cult,4.6,935.0,1h 33m,Horror,93.0,Standard,< 2 hrs
Possessions,3.8,880.0,1h 29m,Horror,89.0,Short,< 2 hrs
Its Name Was Mormo,3.7,155.0,1h 33m,Horror,93.0,Standard,< 2 hrs
Anaconda,4.9,673.0,1h 24m,Horror,84.0,Short,< 2 hrs
Scopophobia,5.4,85.0,1h 40m,Horror,100.0,Standard,< 2 hrs
Spiders on a Plane,4.7,400.0,1h 18m,Horror,78.0,Short,< 2 hrs
The Soul Eater,5.8,3000.0,1h 48m,Horror,108.0,Standard,< 2 hrs
The Jack in the Box Rises,4.1,831.0,1h 32m,Horror,92.0,Standard,< 2 hrs
Strange Frequencies: Taiwan Killer Hospital,7.3,74.0,1h 31m,Horror,91.0,Standard,< 2 hrs
