Movie_Name,Rating,Voting_Counts,Duration_Total,Genre
Swamp Dogg Gets His Pool Painted,8.3,93,1h 35m,Comedy
Players,5.7,12K,1h 45m,Comedy
Meet the Barbarians,6.4,686,1h 41m,Comedy
Illegal Hayatlar: Meclis,6.8,860,1h 55m,Comedy
"Kiss Me, Kate: The Musical",7.4,94,2h 41m,Comedy
Chantal in Fairyland,4.6,2.8K,1h 58m,Comedy
Saving Bikini Bottom: The Sandy Cheeks Movie,3.7,4.1K,1h 22m,Comedy
AJ Goes to the Dog Park,7.2,13,1h 19m,Comedy
Khel Khel Mein,6.5,28K,2h 15m,Comedy
Kalvan,5.6,998,2h 22m,Comedy
Mascarpone: The Rainbow Cake,6.0,547,1h 45m,Comedy
Running on Empty,4.9,596,1h 31m,Comedy
Arthur's Whisky,4.7,1K,1h 34m,Comedy
Am I Racist?,6.6,17K,1h 40m,Comedy
Lesbian Space Princess,7.1,207,1h 27m,Comedy
Sthanarthi Sreekuttan,6.9,1.7K,2h 15m,Comedy
Summer Camp,4.5,1.7K,1h 35m,Comedy
Asche,4.7,47,1h 27m,Comedy
City Hunter,6.3,5.8K,1h 42m,Comedy
Thelma the Unicorn,5.7,3.1K,1h 33m,Comedy
Standing on the Shoulders of Kitties,6.2,674,1h 51m,Comedy
Notice to Quit,5.6,617,1h 31m,Comedy
Krazy House,4.8,1.5K,1h 29m,Comedy
And Mrs,5.8,841,1h 51m,Comedy
Mars,8.1,26,1h 24m,Comedy
Fasel men el-Lahazat el-Ladhidhah,6.4,1K,2h 2m,Comedy
How Could I Live Without You?,6.9,1.1K,1h 45m,Comedy
Denominación de origen,8.2,296,1h 26m,Comedy
The Problem with People,5.8,547,1h 42m,Comedy
Buffalo Kids,6.6,781,1h 33m,Comedy
Man and Witch: The Dance of a Thousand Steps,5.5,357,1h 34m,Comedy
The Black Sea,7.3,114,1h 36m,Comedy
Corina,7.0,730,1h 36m,Comedy
10 Lives,5.9,2.1K,1h 28m,Comedy
Gelin Takimi,4.0,6.3K,1h 49m,Comedy
Little Death,5.5,211,1h 50m,Comedy
The Tiger's Apprentice,5.8,2.3K,1h 24m,Comedy
Down the Rabbit Hole,5.6,559,1h 42m,Comedy
Breakfast with Giraffes,5.9,1.1K,1h 37m,Comedy
The Deb,7.5,72,2h 1m,Comedy
Música,6.4,5.1K,1h 31m,Comedy
Frankie Freako,5.6,1.3K,1h 25m,Comedy
